term,estimate,std.error,specialty
same_sex,0.05842213917224916,0.012815083001191453,ortho
same_prac,0.3846155779739054,0.08144273809321834,ortho
diff_dist,-0.0479889589174253,0.010182986448985893,ortho
same_race,0.06961295317203443,0.07580627848612088,ortho
diff_age,7.996899179070654e-4,0.002586280440374041,ortho
diff_gradyear,-2.2019378878010879e-4,0.0021732699275211196,ortho
