grp,specialty,n,male,experience,in_degree,q_spend,q_admit,q_death
Stable,ortho,11271,0.9676160056782894,27,26,-823.1575647444917,-0.024219238521653648,-0.006670614243208799
Mobile,ortho,3872,0.9692665289256198,28,39,-413.5421345529455,-0.014174164940657853,-0.00480230533467658
Mobile,cardioem,8753,0.8766137324345938,30,114,-1098.789201320255,-0.009840668444304687,-0.001158983371001802
Stable,cardioem,13995,0.8647374062165059,29,73,-667.9620483283628,-0.014533348330823325,-0.0027289564092400874
Stable,derm,9853,0.5577996549274332,25,143,-277.6279322417824,-0.01218047868527573,-0.0011839475913814255
Mobile,derm,3108,0.4826254826254826,20,183,163.24904376269376,-0.004485411324756029,-9.614181558287259e-4
