point,lo,hi,determinant,outcome,sample,specialty
0.326281376065325,0.076462715866538,0.563904102535185,same_sex,admit_ne,all,ortho
0.763587951914403,0.29694562988156,1.17724453364689,same_sex,admit,all,ortho
-0.0282575796338277,-0.0558350733121882,0.0025914110912394,same_sex,death,all,ortho
15.886429289946,5.83455654507942,24.763329699523,same_sex,spend,all,ortho
-0.258535888497458,-1.15853398982594,0.595449188962737,same_prac,admit_ne,all,ortho
-0.722942947465114,-3.23960430488365,1.66505236172913,same_prac,admit_ne,tied,ortho
-1.33271451064659,-2.62853775491583,-0.0645736126436579,same_prac,admit,all,ortho
-3.72666465014139,-7.35017038874611,-0.180566953873932,same_prac,admit,tied,ortho
0.0839581092779236,-0.0789422459640163,0.238635562230983,same_prac,death,all,ortho
0.234771750017898,-0.22074591001049,0.667295738831084,same_prac,death,tied,ortho
-15.2445166074989,-45.5989517745022,20.0127026111861,same_prac,spend,all,ortho
-42.6281853283766,-127.508179962034,55.9614461905389,same_prac,spend,tied,ortho
-0.758490397091761,-2.04146122472832,0.927854324846633,diff_dist,admit_ne,all,ortho
-5.72054079912661,-8.08152933835188,-2.44975816258607,diff_dist,admit,all,ortho
0.0536187200863897,-0.183557494190797,0.255641512028065,diff_dist,death,all,ortho
-104.617370697772,-155.812249992614,-29.6202805155992,diff_dist,spend,all,ortho
-0.0233708050589099,-0.358975591694906,0.85836695215264,same_race,admit_ne,all,ortho
0.249526423169228,-0.178518419005719,1.97766817857785,same_race,admit,all,ortho
-0.07508862507689,-0.215228484861888,0.0594493402895657,same_race,death,all,ortho
10.4829985113053,-3.25436948303278,54.6865425526965,same_race,spend,all,ortho
0.0170708338677935,-0.162277359729184,0.306357678361245,diff_age,admit_ne,all,ortho
0.0496514019114053,-0.313078720616166,0.806838702432725,diff_age,admit,all,ortho
-0.0220467207074,-0.1728904242879,0.087183414357616,diff_age,death,all,ortho
-0.128043536493334,-8.042733704708,11.6397224090798,diff_age,spend,all,ortho
0.0057014654649957,-0.171455707333431,0.387243775072156,diff_gradyear,admit_ne,all,ortho
0.00144409986593402,-0.244080317918484,0.578398717419306,diff_gradyear,admit,all,ortho
0.00652780845867822,-0.112575042891292,0.128626053962883,diff_gradyear,death,all,ortho
0.412239647577109,-7.65965023695474,19.3017936517346,diff_gradyear,spend,all,ortho
-0.00184693949859416,-0.0204211478640067,0.00914729780135832,same_sex,admit_ne,all,cardioem
0.00652260616447369,-0.0203516159839273,0.026829425586273,same_sex,admit,all,cardioem
-0.0033875846903874,-0.0120177765478389,0.00471639408780203,same_sex,death,all,cardioem
0.924909424643648,-1.29795481962234,3.10103597537784,same_sex,spend,all,cardioem
1.77108006539541,1.13414311123765,2.37640743496566,same_prac,admit_ne,all,cardioem
4.34348964986863,2.78143205458683,5.82802624190778,same_prac,admit_ne,tied,cardioem
1.0079416436712,0.48910792448734,1.65385460228112,same_prac,admit,all,cardioem
2.4719289559504,1.1995139289229,4.05599977536412,same_prac,admit,tied,cardioem
-0.0128797308486308,-0.0810337429319328,0.0502081820779931,same_prac,death,all,cardioem
-0.0315869275066521,-0.19873140158482,0.123133179270353,same_prac,death,tied,cardioem
21.646041072822,6.3649510499252,38.8065332105151,same_prac,spend,all,cardioem
53.0858865149287,15.6097398121289,95.1711775433053,same_prac,spend,tied,cardioem
1.15346866259355,0.675763899406535,1.59357502112834,diff_dist,admit_ne,all,cardioem
0.277113463172796,-0.365184570609478,0.915904218810819,diff_dist,admit,all,cardioem
-0.0539259489491592,-0.142872888874345,0.0391435050275282,diff_dist,death,all,cardioem
57.9824434877744,36.1492009928905,80.7185488350601,diff_dist,spend,all,cardioem
-0.104336579347629,-0.290100481946614,0.0937945313398237,same_race,admit_ne,all,cardioem
-0.13492117566917,-0.370888181752039,0.115793296871795,same_race,admit,all,cardioem
-0.0123890186687327,-0.0352727643022827,0.0107218213663864,same_race,death,all,cardioem
-1.4556660921791,-4.14833729137906,1.33705285192685,same_race,spend,all,cardioem
-0.244007502937657,-0.701233613048983,0.223654467499551,diff_age,admit_ne,all,cardioem
-0.257630515807341,-0.734181465661624,0.245435845796472,diff_age,admit,all,cardioem
-0.0237906510393413,-0.0700801980016297,0.0201425258892837,diff_age,death,all,cardioem
-12.1676401034283,-32.9155423930115,10.8759670022926,diff_age,spend,all,cardioem
-0.0787057811674259,-0.415142594435683,0.237129096308868,diff_gradyear,admit_ne,all,cardioem
-0.0845629849794585,-0.429528647354896,0.255814613742513,diff_gradyear,admit,all,cardioem
-0.00828672652607143,-0.0454665879331211,0.0253555779988255,diff_gradyear,death,all,cardioem
-3.88136642820951,-20.6832456344078,12.2401932423119,diff_gradyear,spend,all,cardioem
0.0193427679290126,-0.0143934293008456,0.0524439375613491,same_sex,admit_ne,all,derm
0.0127731892371738,-0.0235520062899375,0.0450075174634559,same_sex,admit,all,derm
-0.00407048147146503,-0.012919068556052,0.00063751111216897,same_sex,death,all,derm
0.916284663402384,0.0506645992615608,2.21382395455671,same_sex,spend,all,derm
1.05053646612363,0.754493153543328,1.399112581523,same_prac,admit_ne,all,derm
4.11590094937172,2.95603169152434,5.48158868184469,same_prac,admit_ne,tied,derm
1.22771423163809,0.85630465262396,1.63582103693011,same_prac,admit,all,derm
4.81006641321262,3.35491936390488,6.40898966957943,same_prac,admit,tied,derm
0.0357574781255128,-0.0125528022603704,0.0776986916747152,same_prac,death,all,derm
0.14009436407952,-0.0491806733100624,0.304416009478404,same_prac,death,tied,derm
60.7320694777836,46.4992487890612,76.9115934121941,same_prac,spend,all,derm
237.942413691998,182.179589578802,301.332234102273,same_prac,spend,tied,derm
2.51762952301209,2.02738121236163,3.01161865753881,diff_dist,admit_ne,all,derm
1.34601424281309,0.781391397030888,1.94207049101195,diff_dist,admit,all,derm
-0.150222428765647,-0.275368207808567,-0.0400316467605942,diff_dist,death,all,derm
80.1984427109187,60.5180100153896,96.1804913462156,diff_dist,spend,all,derm
-0.0580478208160058,-0.129745182630214,-0.00119749093584869,same_race,admit_ne,all,derm
-0.0682604960097041,-0.155617021865123,-0.00142563140818967,same_race,admit,all,derm
-0.00937219036916144,-0.0217170485326183,-0.000228519617879957,same_race,death,all,derm
-1.14198155167351,-2.42568586914604,-0.0069777623120475,same_race,spend,all,derm
0.0295974481154756,-0.143136606757054,0.190503032984011,diff_age,admit_ne,all,derm
0.02374164653416,-0.122598130731886,0.156055599124411,diff_age,admit,all,derm
-0.00297347715233281,-0.0249938217218309,0.0133966048953421,diff_age,death,all,derm
-1.31101426409918,-8.92995105669773,5.71464447812705,diff_age,spend,all,derm
-0.0577821246708338,-0.266625199337232,0.125313426676704,diff_gradyear,admit_ne,all,derm
-0.0493023582737597,-0.24344528904038,0.117802648203803,diff_gradyear,admit,all,derm
0.00511671476133313,-0.0143318589402565,0.0250709074396978,diff_gradyear,death,all,derm
2.19496260943751,-4.96181461470518,9.77692663475967,diff_gradyear,spend,all,derm
