specialty,estimate_y1,estimate_y4,std.error_y1,std.error_y4,delta,se_delta,z,p
ortho,0.44624926199615333,0.2205098023151228,0.0593519495955483,0.05208556812943598,-0.22573945968103054,0.07896556419198575,-2.8587076150333,0.004253706537246012
cardioem,0.25180028483085737,0.3497497656719755,0.04993161459802921,0.04337311688489935,0.09794948084111815,0.06613919718803113,1.4809596276569799,0.13861733206401547
derm,0.4072114819503798,0.3620821151684633,0.05314226954241084,0.02382791258995274,-0.045129366781916536,0.05823976502796586,-0.7748892317859815,0.43840511563670953
