specialty,n_movers,n_pairs,copresent,copresent_se,co_present,co_present_se,after_left,after_left_se,rate_before,rate_co,rate_after
ortho,498,2369,0.10698280507287199,0.11326205076413708,-6.642358572868795e-4,0.14516709018896354,-0.25829288979835535,0.15491573408060177,0.0851063829787234,0.16784274193548387,0.05825242718446602
cardioem,2196,25387,0.06487116019461524,0.015924009502121948,0.05181472593166453,0.01727971376126542,-0.04368325752440004,0.03260681870688342,0.0753199268738574,0.11765783088403607,0.03584672435105068
derm,1291,8205,0.07953936637492863,0.0262518026553067,0.15080706635492278,0.047254536623706614,0.12057531325892301,0.06169844466252773,0.062370062370062374,0.1563606646690275,0.060209424083769635
