pair,diff_of_deltas,se,z,p
ortho_vs_cardioem,-0.3236889405221487,0.10300462966700034,-3.142469824595167,0.0016752898022277711
ortho_vs_derm,-0.180610092899114,0.09811947084382026,-1.840716132546175,0.06566316855102329
cardioem_vs_derm,0.1430788476230347,0.088126407138779575,1.6235638359534752,0.10446892894483223
