specialty,n_movers,n_obs,affil,affil_se,coord,coord_se
ortho,1234,66617,1.4779715687054469,0.13670274644865943,0.1998970089447697,0.10729440302818648
cardioem,5071,604620,2.3140726042597852,0.07731927911423991,-0.07334510055583188,0.05891944207122404
derm,4664,328082,2.226486029529762,0.12613897009220001,-0.06860455360445261,0.09377743534963996
