term,estimate,std.error,specialty
same_sex,0.0028888460784978706,0.003772822117886994,cardioem
same_prac,0.15387296790827298,0.03357139680480754,cardioem
diff_dist,-0.02025309698022749,6.093506690932989e-4,cardioem
same_race,0.003750036548831245,0.003811489505332398,cardioem
diff_age,2.69014215428963e-4,2.876121257225107e-4,cardioem
diff_gradyear,7.587070344318494e-5,1.5929902489158563e-4,cardioem
